MAFbin MEAN_FST COMP
0.3 0.0869465858638258 STA.2.FRG
0.4 0.145677890200639 STA.2.FRG
0.5 0.206397175486304 STA.2.FRG
0.1 0.0851940044066427 STA.2.IND
0.2 0.114920489771226 STA.2.IND
0.3 0.147354720884378 STA.2.IND
0.4 0.156382710268244 STA.2.IND
0.5 0.200586164755549 STA.2.IND
0.1 0.0675703188919257 STA.2.MOR
0.2 0.111516634938556 STA.2.MOR
0.3 0.159138622921966 STA.2.MOR
0.4 0.155668961112874 STA.2.MOR
0.5 0.206159012882661 STA.2.MOR
0.1 0.0272925781451903 STA.2.NAM
0.2 0.114625732499737 STA.2.NAM
0.3 0.233139699142815 STA.2.NAM
0.4 0.339085171300054 STA.2.NAM
0.5 0.47019979761255 STA.2.NAM
0.1 0.1258897727814 STA.2.STO
0.2 0.223314494170741 STA.2.STO
0.3 0.304211017865804 STA.2.STO
0.4 0.324501434291801 STA.2.STO
0.5 0.404783841538732 STA.2.STO
0.1 0.0953948909376532 STA.2.ZAI
0.2 0.190963468167224 STA.2.ZAI
0.3 0.29741382304908 STA.2.ZAI
0.4 0.343385550536055 STA.2.ZAI
0.5 0.42222137145176 STA.2.ZAI
0.1 0.0140318030899511 STA.3.ACO
0.2 0.0109659189343173 STA.3.ACO
0.3 0.0393297277797771 STA.3.ACO
0.4 0.0862670349320685 STA.3.ACO
0.5 0.145893523195431 STA.3.ACO
0.1 0.0531787215929917 STA.3.AUS.1
0.2 0.101932534725736 STA.3.AUS.1
0.3 0.132187168115138 STA.3.AUS.1
0.4 0.144084318222449 STA.3.AUS.1
0.5 0.174336805391112 STA.3.AUS.1
0.1 0.000357030581104839 STA.3.BEN
0.2 0.00346046430205732 STA.3.BEN
0.3 0.0180677988549618 STA.3.BEN
0.4 0.0883213780263158 STA.3.BEN
0.5 0.115259091818182 STA.3.BEN
0.1 0.000774342745681287 STA.3.CAP
0.2 0.00109474211771834 STA.3.CAP
0.3 0.0210064570336034 STA.3.CAP
0.4 0.0833939104006013 STA.3.CAP
0.5 0.190622813950363 STA.3.CAP
0.1 0.0696355599553753 STA.3.FRA.1
0.2 0.0906499338711433 STA.3.FRA.1
0.3 0.092458561134834 STA.3.FRA.1
0.4 0.113170051814454 STA.3.FRA.1
0.5 0.138402758236599 STA.3.FRA.1
0.1 0.00991025109117223 STA.3.FRA.2
0.2 0.00931314315358361 STA.3.FRA.2
0.3 0.047959421532557 STA.3.FRA.2
0.4 0.108151899409326 STA.3.FRA.2
0.5 0.204351503694488 STA.3.FRA.2
0.1 0.000810434015719636 STA.3.FRA.3
0.2 0.0017524900710419 STA.3.FRA.3
0.3 0.0343106545429498 STA.3.FRA.3
0.4 0.104377399552628 STA.3.FRA.3
0.5 0.192401970257467 STA.3.FRA.3
0.1 0.0216528197345029 STA.3.FRG
0.2 0.0458946800988894 STA.3.FRG
0.3 0.0707167974796279 STA.3.FRG
0.4 0.0905679954884958 STA.3.FRG
0.5 0.125167865873788 STA.3.FRG
0.1 0.0200568209788691 STA.3.IND
0.2 0.0252005408274111 STA.3.IND
0.3 0.0649093174156574 STA.3.IND
0.4 0.0998609006061182 STA.3.IND
0.5 0.163609934509457 STA.3.IND
0.1 0.0195421628160675 STA.3.MOR
0.2 0.0325935080012149 STA.3.MOR
0.3 0.0730301775423277 STA.3.MOR
0.4 0.0968273912817176 STA.3.MOR
0.5 0.158831076592788 STA.3.MOR
0.1 0.00952925268646421 STA.3.NAM
0.2 0.0226616775818416 STA.3.NAM
0.3 0.0519929157706876 STA.3.NAM
0.4 0.0899986772984176 STA.3.NAM
0.5 0.134263318648494 STA.3.NAM
0.1 0.036528571554016 STA.3.STA.2
0.2 0.0853716557120663 STA.3.STA.2
0.3 0.161070638985708 STA.3.STA.2
0.4 0.203798396631328 STA.3.STA.2
0.5 0.287021948087155 STA.3.STA.2
0.1 0.0379889112439015 STA.3.STO
0.2 0.0639886145496362 STA.3.STO
0.3 0.112284856465674 STA.3.STO
0.4 0.144853268470107 STA.3.STO
0.5 0.225109352693311 STA.3.STO
0.1 0.027703261071893 STA.3.ZAI
0.2 0.052758699043589 STA.3.ZAI
0.3 0.109384241176376 STA.3.ZAI
0.4 0.150207003694076 STA.3.ZAI
0.5 0.204290259932382 STA.3.ZAI
0.1 0.0268121941595642 STO.FRG
0.2 0.0566812977336492 STO.FRG
0.3 0.0720939653344959 STO.FRG
0.4 0.0835685257989611 STO.FRG
0.5 0.103821627542863 STO.FRG
0.1 0.0243109539805348 STO.IND
0.2 0.033580063349457 STO.IND
0.3 0.0777792232190889 STO.IND
0.4 0.126669150230608 STO.IND
0.5 0.195216384350394 STO.IND
0.1 0.107803282261002 ZAI.ACO
0.2 0.0626153515841003 ZAI.ACO
0.3 0.107970351858641 ZAI.ACO
0.4 0.185350910555045 ZAI.ACO
0.5 0.319932487283385 ZAI.ACO
0.1 0.0180334411033387 ZAI.CAP
0.2 0.00941589657071342 ZAI.CAP
0.3 0.0738270436042429 ZAI.CAP
